trip_id,start_date,subscriber_type,start_station_name,start_station_id
1149729,2016-04-05 10:16:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1210088,2016-05-20 19:18:00.000000 UTC,Subscriber,Kaiser Hospital,26
1212092,2016-05-23 17:08:00.000000 UTC,Subscriber,Kaiser Hospital,26
1148855,2016-04-04 18:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1243196,2016-06-16 17:14:00.000000 UTC,Subscriber,Kaiser Hospital,26
1166460,2016-04-18 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1215367,2016-05-25 17:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1157388,2016-04-11 18:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1216997,2016-05-26 17:14:00.000000 UTC,Subscriber,Kaiser Hospital,26
1238093,2016-06-13 17:50:00.000000 UTC,Subscriber,Kaiser Hospital,26
1155077,2016-04-08 17:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1163983,2016-04-15 17:16:00.000000 UTC,Subscriber,Kaiser Hospital,26
1162403,2016-04-14 17:15:00.000000 UTC,Subscriber,Kaiser Hospital,26
1233860,2016-06-09 17:17:00.000000 UTC,Subscriber,Kaiser Hospital,26
1173805,2016-04-22 18:17:00.000000 UTC,Subscriber,Kaiser Hospital,26
1228690,2016-06-06 17:12:00.000000 UTC,Subscriber,Kaiser Hospital,26
1213732,2016-05-24 17:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1151919,2016-04-06 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1170589,2016-04-20 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1239941,2016-06-14 18:12:00.000000 UTC,Subscriber,Kaiser Hospital,26
1179394,2016-04-27 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1172429,2016-04-21 18:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1146254,2016-04-01 17:20:00.000000 UTC,Subscriber,Kaiser Hospital,26
1160721,2016-04-13 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1258107,2016-06-28 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1153584,2016-04-07 17:15:00.000000 UTC,Subscriber,Kaiser Hospital,26
1177726,2016-04-26 17:12:00.000000 UTC,Subscriber,Kaiser Hospital,26
1256469,2016-06-27 17:17:00.000000 UTC,Subscriber,Kaiser Hospital,26
1241464,2016-06-15 17:12:00.000000 UTC,Subscriber,Kaiser Hospital,26
1252341,2016-06-23 17:13:00.000000 UTC,Subscriber,Kaiser Hospital,26
1222872,2016-06-01 17:18:00.000000 UTC,Subscriber,Kaiser Hospital,26
1250723,2016-06-22 17:11:00.000000 UTC,Subscriber,Kaiser Hospital,26
1248965,2016-06-21 17:02:00.000000 UTC,Subscriber,Kaiser Hospital,26
1242626,2016-06-16 10:50:00.000000 UTC,Subscriber,Kaiser Hospital,26
1233923,2016-06-09 17:36:00.000000 UTC,Subscriber,Kaiser Hospital,26
1244022,2016-06-17 08:44:00.000000 UTC,Subscriber,Mezes,83
1208958,2016-05-20 08:19:00.000000 UTC,Subscriber,Mezes,83
1205729,2016-05-18 08:16:00.000000 UTC,Subscriber,Mezes,83
1199703,2016-05-13 08:19:00.000000 UTC,Subscriber,Mezes,83
1161537,2016-04-14 08:16:00.000000 UTC,Subscriber,Mezes,83
1154335,2016-04-08 08:21:00.000000 UTC,Subscriber,Mezes,83
1152679,2016-04-07 08:14:00.000000 UTC,Subscriber,Mezes,83
1181680,2016-04-29 08:17:00.000000 UTC,Subscriber,Mezes,83
1219023,2016-05-28 15:31:00.000000 UTC,Subscriber,Mezes,83
1202232,2016-05-16 08:23:00.000000 UTC,Subscriber,Mezes,83
1147651,2016-04-04 08:19:00.000000 UTC,Subscriber,Mezes,83
1194098,2016-05-10 08:13:00.000000 UTC,Subscriber,Mezes,83
1176828,2016-04-26 08:16:00.000000 UTC,Subscriber,Mezes,83
1212819,2016-05-24 08:15:00.000000 UTC,Subscriber,Mezes,83
1203896,2016-05-17 08:21:00.000000 UTC,Subscriber,Mezes,83
1165513,2016-04-18 08:20:00.000000 UTC,Subscriber,Mezes,83
1190492,2016-05-06 08:16:00.000000 UTC,Subscriber,Mezes,83
1163118,2016-04-15 08:15:00.000000 UTC,Subscriber,Mezes,83
1192427,2016-05-09 08:19:00.000000 UTC,Subscriber,Mezes,83
1158004,2016-04-12 08:21:00.000000 UTC,Subscriber,Mezes,83
1145482,2016-04-01 08:16:00.000000 UTC,Subscriber,Mezes,83
1156231,2016-04-11 08:17:00.000000 UTC,Subscriber,Mezes,83
1199751,2016-05-13 08:32:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1168444,2016-04-19 15:00:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1193935,2016-05-10 07:22:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1224929,2016-06-02 23:32:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1211624,2016-05-23 10:51:00.000000 UTC,Subscriber,San Mateo County Center,23
1171231,2016-04-21 07:36:00.000000 UTC,Subscriber,San Mateo County Center,23
1167848,2016-04-19 09:52:00.000000 UTC,Subscriber,San Mateo County Center,23
1170192,2016-04-20 13:12:00.000000 UTC,Subscriber,Redwood City Public Library,24
1206285,2016-05-18 13:10:00.000000 UTC,Subscriber,Redwood City Public Library,24
1224496,2016-06-02 17:14:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1181291,2016-04-28 19:03:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1197164,2016-05-11 18:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1155332,2016-04-08 19:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1152233,2016-04-06 19:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1172378,2016-04-21 17:57:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1150464,2016-04-05 18:12:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1161076,2016-04-13 19:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1188000,2016-05-04 16:27:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1200852,2016-05-13 18:37:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1218645,2016-05-27 18:33:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1217260,2016-05-26 19:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25
