trip_id,start_date,subscriber_type,start_station_name,start_station_id
1124459,2016-03-15 08:19:00.000000 UTC,Subscriber,Mezes,83
1122805,2016-03-14 07:36:00.000000 UTC,Subscriber,Mezes,83
1100489,2016-02-22 08:16:00.000000 UTC,Subscriber,Mezes,83
1140741,2016-03-29 08:20:00.000000 UTC,Subscriber,Mezes,83
1106786,2016-02-26 08:14:00.000000 UTC,Subscriber,Mezes,83
1115161,2016-03-04 08:24:00.000000 UTC,Subscriber,Mezes,83
1120928,2016-03-10 08:21:00.000000 UTC,Subscriber,Mezes,83
1097045,2016-02-18 08:16:00.000000 UTC,Subscriber,Mezes,83
1069586,2016-01-25 08:12:00.000000 UTC,Subscriber,Mezes,83
1137031,2016-03-25 08:21:00.000000 UTC,Subscriber,Mezes,83
1059438,2016-01-13 08:12:00.000000 UTC,Subscriber,Mezes,83
1082788,2016-02-05 08:13:00.000000 UTC,Subscriber,Mezes,83
1135528,2016-03-24 08:22:00.000000 UTC,Subscriber,Mezes,83
1060330,2016-01-13 17:42:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22
1085545,2016-02-08 12:43:00.000000 UTC,Subscriber,San Mateo County Center,23
1051112,2016-01-04 13:34:00.000000 UTC,Subscriber,San Mateo County Center,23
1059847,2016-01-13 12:21:00.000000 UTC,Subscriber,San Mateo County Center,23
1087051,2016-02-09 11:59:00.000000 UTC,Subscriber,San Mateo County Center,23
1123334,2016-03-14 11:47:00.000000 UTC,Subscriber,San Mateo County Center,23
1119756,2016-03-09 10:31:00.000000 UTC,Subscriber,San Mateo County Center,23
1096319,2016-02-17 13:10:00.000000 UTC,Subscriber,Redwood City Public Library,24
1065726,2016-01-20 13:04:00.000000 UTC,Subscriber,Redwood City Public Library,24
1135084,2016-03-23 18:34:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1136581,2016-03-24 18:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1131988,2016-03-21 18:32:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1104785,2016-02-24 18:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1111679,2016-03-01 18:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1139894,2016-03-28 16:34:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1091891,2016-02-12 16:29:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1091893,2016-02-12 16:29:00.000000 UTC,Subscriber,Stanford in Redwood City,25
1082129,2016-02-04 16:27:00.000000 UTC,Subscriber,Stanford in Redwood City,25
